age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39,technician,1,1,no,0,1,no,unknown,,may,203,1,-1,0,unknown,0
46,management,1,2,no,229,1,no,unknown,,may,197,1,-1,0,unknown,0
44,blue-collar,1,1,no,-674,1,no,unknown,,may,257,1,-1,0,unknown,0
53,blue-collar,1,0,no,90,0,no,unknown,,may,124,1,-1,0,unknown,0
52,blue-collar,1,0,no,128,1,no,unknown,,may,229,1,-1,0,unknown,0
59,blue-collar,1,0,no,179,1,no,unknown,,may,55,3,-1,0,unknown,0
27,technician,0,2,no,0,1,no,unknown,,may,400,1,-1,0,unknown,0
44,blue-collar,1,1,no,54,1,no,unknown,,may,197,1,-1,0,unknown,0
47,technician,1,2,no,151,1,no,unknown,,may,190,1,-1,0,unknown,0
34,admin.,1,1,no,61,0,yes,unknown,,may,21,1,-1,0,unknown,0
59,retired,0,1,no,30,1,no,unknown,,may,514,1,-1,0,unknown,0
45,management,1,2,no,523,1,no,unknown,,may,849,2,-1,0,unknown,0
29,services,divorced,1,no,31,1,no,unknown,,may,194,1,-1,0,unknown,0
46,technician,divorced,1,no,79,0,no,unknown,5.0,may,144,1,-1,0,unknown,0
56,self-employed,1,0,no,-34,1,yes,unknown,,may,212,2,-1,0,unknown,0
36,blue-collar,1,0,no,448,1,no,unknown,,may,286,1,-1,0,unknown,0
59,retired,divorced,0,no,81,1,no,unknown,,may,107,1,-1,0,unknown,0
44,blue-collar,1,1,no,144,1,no,unknown,,may,247,2,-1,0,unknown,0
41,admin.,1,1,no,351,1,no,unknown,,may,518,1,-1,0,unknown,0
33,management,0,2,no,-67,1,no,unknown,5.0,may,364,1,-1,0,unknown,0
59,management,divorced,2,no,262,0,no,unknown,,may,178,1,-1,0,unknown,0
57,technician,1,0,no,0,0,no,unknown,,may,98,1,-1,0,unknown,0
56,technician,divorced,3,no,56,1,no,unknown,,may,439,1,-1,0,unknown,0
51,blue-collar,1,1,no,26,1,no,unknown,,may,79,1,-1,0,unknown,0
34,admin.,1,3,no,3,1,no,unknown,,may,120,3,-1,0,unknown,0
43,services,1,1,no,41,1,yes,unknown,,may,127,2,-1,0,unknown,0
52,technician,1,2,no,7,0,yes,unknown,,may,175,1,-1,0,unknown,0
33,technician,0,1,no,105,1,no,unknown,,may,262,2,-1,0,unknown,0
29,admin.,0,1,no,818,1,yes,unknown,,may,61,1,-1,0,unknown,0
34,services,1,1,no,-16,1,yes,unknown,,may,78,1,-1,0,unknown,0
31,blue-collar,1,1,no,0,1,no,unknown,,may,143,1,-1,0,unknown,0
55,services,1,1,no,2476,1,no,unknown,,may,579,1,-1,0,unknown,1
55,management,1,3,no,1185,0,no,unknown,,may,677,1,-1,0,unknown,0
32,admin.,0,1,no,217,1,no,unknown,,may,345,1,-1,0,unknown,0
38,technician,0,1,no,1685,1,no,unknown,,may,185,1,-1,0,unknown,0
55,admin.,0,1,no,802,1,yes,unknown,,may,100,2,-1,0,unknown,0
28,unemployed,0,2,no,0,1,no,unknown,,may,125,2,-1,0,unknown,0
23,blue-collar,1,1,no,94,1,no,unknown,,may,193,1,-1,0,unknown,0
32,technician,0,1,no,0,1,no,unknown,,may,136,1,-1,0,unknown,0
43,services,0,3,no,0,0,no,unknown,5.0,may,73,1,-1,0,unknown,0
32,blue-collar,1,1,no,517,1,no,unknown,,may,528,1,-1,0,unknown,0
46,blue-collar,1,1,no,265,1,no,unknown,,may,541,1,-1,0,unknown,0
53,housemaid,divorced,0,no,947,1,no,unknown,5.0,may,163,1,-1,0,unknown,0
34,self-employed,0,1,no,3,1,no,unknown,,may,301,1,-1,0,unknown,0
57,unemployed,1,2,no,42,0,no,unknown,,may,46,1,-1,0,unknown,0
37,blue-collar,1,1,no,37,1,no,unknown,,may,204,1,-1,0,unknown,0
59,blue-collar,1,1,no,57,1,no,unknown,,may,98,1,-1,0,unknown,0
33,services,1,1,no,22,1,no,unknown,5.0,may,71,1,-1,0,unknown,0
56,blue-collar,divorced,0,no,8,1,no,unknown,,may,157,2,-1,0,unknown,0
48,unemployed,1,1,no,293,1,no,unknown,,may,243,1,-1,0,unknown,0
43,services,1,0,no,3,1,no,unknown,5.0,may,186,2,-1,0,unknown,0
54,blue-collar,1,0,no,348,1,no,unknown,,may,579,2,-1,0,unknown,0
51,blue-collar,1,3,no,-19,1,no,unknown,,may,163,2,-1,0,unknown,0
26,student,0,1,no,0,1,no,unknown,,may,610,2,-1,0,unknown,0
40,management,1,2,no,-4,1,no,unknown,,may,2033,1,-1,0,unknown,0
39,management,1,1,no,18,1,no,unknown,,may,85,1,-1,0,unknown,0
50,technician,1,0,no,139,0,no,unknown,,may,114,2,-1,0,unknown,0
41,services,1,1,no,0,1,no,unknown,,may,114,2,-1,0,unknown,0
51,blue-collar,1,3,no,1883,1,no,unknown,,may,57,1,-1,0,unknown,0
60,retired,divorced,1,no,216,1,no,unknown,5.0,may,238,1,-1,0,unknown,0
52,blue-collar,1,1,no,782,1,no,unknown,,may,93,3,-1,0,unknown,0
48,blue-collar,1,1,no,904,1,no,unknown,,may,128,2,-1,0,unknown,0
48,services,1,3,no,1705,1,no,unknown,,may,107,1,-1,0,unknown,0
39,technician,0,2,no,47,1,no,unknown,5.0,may,181,1,-1,0,unknown,0
47,services,0,1,no,176,1,no,unknown,,may,303,2,-1,0,unknown,0
40,blue-collar,1,1,no,1225,1,no,unknown,,may,558,5,-1,0,unknown,0
45,technician,1,1,no,86,1,no,unknown,,may,270,1,-1,0,unknown,0
26,admin.,0,1,no,82,1,no,unknown,5.0,may,228,1,-1,0,unknown,0
52,management,1,2,no,271,1,no,unknown,,may,99,1,-1,0,unknown,0
54,technician,1,1,no,1378,1,no,unknown,,may,240,1,-1,0,unknown,0
54,admin.,1,2,no,184,0,no,unknown,,may,673,2,-1,0,unknown,1
50,blue-collar,1,0,no,0,0,no,unknown,,may,233,3,-1,0,unknown,0
35,blue-collar,1,1,no,0,1,no,unknown,5.0,may,1056,1,-1,0,unknown,0
44,services,1,1,no,1357,1,yes,unknown,,may,250,1,-1,0,unknown,0
53,entrepreneur,1,3,no,19,1,no,unknown,,may,252,1,-1,0,unknown,0
35,retired,0,0,no,434,0,no,unknown,5.0,may,138,1,-1,0,unknown,0
60,admin.,divorced,1,no,92,1,no,unknown,,may,130,1,-1,0,unknown,0
53,admin.,divorced,1,no,1151,1,no,unknown,5.0,may,412,1,-1,0,unknown,0
48,unemployed,1,1,no,41,1,no,unknown,,may,179,2,-1,0,unknown,0
34,technician,1,1,no,51,1,no,unknown,5.0,may,19,2,-1,0,unknown,0
54,services,1,1,no,214,1,no,unknown,,may,458,2,-1,0,unknown,0
51,management,1,1,no,1161,1,no,unknown,,may,717,1,-1,0,unknown,0
31,services,1,2,no,37,1,no,unknown,,may,313,1,-1,0,unknown,0
35,technician,divorced,1,no,787,1,no,unknown,,may,683,2,-1,0,unknown,0
35,services,1,1,no,59,1,no,unknown,,may,1077,1,-1,0,unknown,0
38,technician,1,1,no,253,1,no,unknown,5.0,may,416,1,-1,0,unknown,0
36,admin.,1,2,no,211,1,no,unknown,,may,146,2,-1,0,unknown,0
58,retired,1,0,no,235,1,no,unknown,5.0,may,167,1,-1,0,unknown,0
34,blue-collar,0,1,no,53,1,yes,unknown,,may,346,1,-1,0,unknown,0
31,management,0,2,no,0,1,no,unknown,,may,562,1,-1,0,unknown,0
51,retired,1,1,no,2127,1,no,unknown,,may,172,1,-1,0,unknown,0
33,management,1,2,no,377,1,no,unknown,,may,217,1,-1,0,unknown,0
55,management,1,2,no,73,1,no,unknown,5.0,may,142,2,-1,0,unknown,0
42,admin.,1,1,no,445,1,no,unknown,,may,67,1,-1,0,unknown,0
34,blue-collar,1,1,no,243,1,no,unknown,5.0,may,291,1,-1,0,unknown,0
33,blue-collar,0,1,no,307,1,no,unknown,5.0,may,309,2,-1,0,unknown,0
38,services,1,1,no,155,1,no,unknown,5.0,may,248,1,-1,0,unknown,0
50,technician,divorced,2,no,173,0,yes,unknown,,may,98,1,-1,0,unknown,0
43,management,1,2,no,400,1,no,unknown,5.0,may,256,1,-1,0,unknown,0
61,blue-collar,divorced,0,no,1428,1,no,unknown,,may,82,2,-1,0,unknown,0
47,admin.,1,1,no,219,1,no,unknown,,may,577,1,-1,0,unknown,0
48,self-employed,1,2,no,7,1,no,unknown,5.0,may,286,1,-1,0,unknown,0
44,blue-collar,1,1,no,575,1,no,unknown,5.0,may,477,1,-1,0,unknown,0
35,student,0,3,no,298,1,no,unknown,,may,611,2,-1,0,unknown,0
35,services,1,1,no,0,1,no,unknown,,may,471,1,-1,0,unknown,0
41,management,1,2,no,176,1,yes,unknown,,may,42,1,-1,0,unknown,0
41,management,1,2,no,517,1,no,unknown,,may,251,1,-1,0,unknown,0
39,services,0,3,no,257,1,no,unknown,,may,408,1,-1,0,unknown,0
42,retired,1,1,no,56,1,no,unknown,,may,215,1,-1,0,unknown,0
38,blue-collar,1,1,no,-390,1,no,unknown,5.0,may,287,1,-1,0,unknown,0
53,retired,1,1,no,330,1,no,unknown,,may,216,2,-1,0,unknown,0
59,housemaid,divorced,0,no,195,0,no,unknown,5.0,may,366,2,-1,0,unknown,0
36,services,1,1,no,301,1,no,unknown,5.0,may,210,1,-1,0,unknown,0
54,blue-collar,1,0,no,-41,1,no,unknown,5.0,may,288,1,-1,0,unknown,0
40,technician,1,2,no,483,1,no,unknown,5.0,may,168,1,-1,0,unknown,0
47,unknown,1,3,no,28,0,no,unknown,5.0,may,338,2,-1,0,unknown,0
53,unemployed,1,3,no,13,0,no,unknown,5.0,may,410,3,-1,0,unknown,0
46,housemaid,1,0,no,965,0,no,unknown,5.0,may,177,1,-1,0,unknown,0
39,management,1,2,no,378,1,yes,unknown,5.0,may,127,2,-1,0,unknown,0
40,unemployed,1,1,no,219,1,no,unknown,5.0,may,357,1,-1,0,unknown,0
28,blue-collar,1,0,no,324,1,no,unknown,5.0,may,175,1,-1,0,unknown,0
35,entrepreneur,divorced,1,no,-69,1,no,unknown,5.0,may,300,1,-1,0,unknown,0
55,retired,1,1,no,0,0,yes,unknown,5.0,may,136,1,-1,0,unknown,0
43,technician,divorced,3,no,205,1,no,unknown,5.0,may,1419,1,-1,0,unknown,0
48,blue-collar,1,0,no,278,1,no,unknown,5.0,may,125,2,-1,0,unknown,0
58,management,1,3,no,1065,1,no,unknown,5.0,may,213,3,-1,0,unknown,0
33,management,0,2,no,34,1,no,unknown,5.0,may,27,1,-1,0,unknown,0
36,blue-collar,1,3,no,1033,0,no,unknown,5.0,may,238,2,-1,0,unknown,0
53,services,divorced,1,no,1467,1,no,unknown,5.0,may,124,1,-1,0,unknown,0
47,blue-collar,1,0,no,-12,1,no,unknown,5.0,may,18,1,-1,0,unknown,0
31,services,1,1,no,388,1,no,unknown,5.0,may,730,2,-1,0,unknown,0
57,entrepreneur,1,1,no,294,1,no,unknown,5.0,may,746,2,-1,0,unknown,0
53,blue-collar,1,3,no,1827,0,no,unknown,5.0,may,121,1,-1,0,unknown,0
55,blue-collar,1,0,no,627,1,no,unknown,5.0,may,247,1,-1,0,unknown,0
45,blue-collar,1,0,no,25,1,no,unknown,5.0,may,40,1,-1,0,unknown,0
53,admin.,divorced,1,no,315,1,no,unknown,5.0,may,181,2,-1,0,unknown,0
37,blue-collar,1,0,no,0,1,no,unknown,5.0,may,79,1,-1,0,unknown,0
44,admin.,divorced,1,no,66,1,no,unknown,5.0,may,206,1,-1,0,unknown,0
49,blue-collar,divorced,0,no,-9,1,yes,unknown,5.0,may,389,1,-1,0,unknown,0
46,technician,1,1,no,349,1,yes,unknown,5.0,may,127,1,-1,0,unknown,0
43,entrepreneur,1,3,no,100,1,no,unknown,5.0,may,702,1,-1,0,unknown,0
38,admin.,1,1,no,0,0,no,unknown,5.0,may,151,1,-1,0,unknown,0
43,technician,1,1,no,434,1,no,unknown,5.0,may,117,1,-1,0,unknown,0
49,management,1,2,no,3237,1,no,unknown,5.0,may,232,3,-1,0,unknown,0
42,management,1,3,no,275,0,no,unknown,5.0,may,408,2,-1,0,unknown,0
22,blue-collar,0,1,no,0,1,no,unknown,5.0,may,179,2,-1,0,unknown,0
40,management,1,2,no,207,1,no,unknown,5.0,may,39,1,-1,0,unknown,0
39,blue-collar,1,1,no,483,1,no,unknown,5.0,may,282,1,-1,0,unknown,0
51,services,1,1,no,2248,1,no,unknown,5.0,may,714,2,-1,0,unknown,0
49,admin.,1,1,no,428,1,no,unknown,5.0,may,50,1,-1,0,unknown,0
53,blue-collar,1,1,no,0,1,yes,unknown,5.0,may,181,1,-1,0,unknown,0
34,services,0,1,no,0,1,no,unknown,5.0,may,142,1,-1,0,unknown,0
33,technician,divorced,1,no,140,1,no,unknown,5.0,may,227,1,-1,0,unknown,0
50,management,0,2,no,297,1,no,unknown,5.0,may,119,1,-1,0,unknown,0
39,blue-collar,1,0,no,279,1,no,unknown,5.0,may,361,1,-1,0,unknown,0
59,entrepreneur,divorced,1,no,901,1,no,unknown,5.0,may,73,3,-1,0,unknown,0
30,technician,0,1,no,2573,1,no,unknown,5.0,may,67,2,-1,0,unknown,0
36,services,1,1,no,143,1,yes,unknown,5.0,may,350,1,-1,0,unknown,0
40,blue-collar,1,1,no,475,1,no,unknown,5.0,may,332,2,-1,0,unknown,0
53,blue-collar,1,1,no,70,1,no,unknown,5.0,may,611,2,-1,0,unknown,0
34,management,0,2,no,318,1,no,unknown,5.0,may,113,2,-1,0,unknown,0
37,technician,1,1,no,275,1,no,unknown,5.0,may,132,1,-1,0,unknown,0
42,management,divorced,2,no,742,1,no,unknown,5.0,may,58,3,-1,0,unknown,0
41,entrepreneur,1,0,no,236,1,no,unknown,5.0,may,151,1,-1,0,unknown,0
30,student,0,2,no,25,1,no,unknown,5.0,may,89,2,-1,0,unknown,0
37,management,0,2,no,600,1,no,unknown,5.0,may,152,1,-1,0,unknown,0
39,admin.,divorced,1,no,-349,1,no,unknown,5.0,may,611,2,-1,0,unknown,0
41,blue-collar,1,0,no,183,1,yes,unknown,5.0,may,110,2,-1,0,unknown,0
40,blue-collar,1,0,no,0,1,no,unknown,5.0,may,463,1,-1,0,unknown,0
42,management,0,2,no,0,1,yes,unknown,5.0,may,562,2,-1,0,unknown,1
40,blue-collar,divorced,0,no,0,1,no,unknown,5.0,may,962,1,-1,0,unknown,0
57,technician,1,1,no,1078,1,no,unknown,5.0,may,10,4,-1,0,unknown,0
56,entrepreneur,divorced,1,no,155,0,no,unknown,5.0,may,118,3,-1,0,unknown,0
37,admin.,1,1,no,190,1,no,unknown,5.0,may,92,2,-1,0,unknown,0
59,retired,1,1,no,319,1,no,unknown,5.0,may,143,3,-1,0,unknown,0
39,services,divorced,1,no,-185,1,no,unknown,5.0,may,189,3,-1,0,unknown,0
49,services,1,1,no,47,0,no,unknown,5.0,may,234,2,-1,0,unknown,0
38,services,0,1,no,570,1,no,unknown,5.0,may,75,2,-1,0,unknown,0
36,self-employed,1,2,no,19,0,no,unknown,5.0,may,189,2,-1,0,unknown,0
50,blue-collar,1,0,no,61,1,no,unknown,5.0,may,621,3,-1,0,unknown,0
41,admin.,1,1,no,-62,1,yes,unknown,5.0,may,55,2,-1,0,unknown,0
54,technician,1,2,no,258,0,no,unknown,5.0,may,310,4,-1,0,unknown,0
58,blue-collar,1,0,no,76,1,no,unknown,5.0,may,156,2,-1,0,unknown,0
30,blue-collar,0,1,no,0,1,no,unknown,5.0,may,5,2,-1,0,unknown,0
33,admin.,0,1,no,352,1,no,unknown,5.0,may,225,2,-1,0,unknown,0
47,admin.,1,1,no,368,1,no,unknown,5.0,may,125,2,-1,0,unknown,0
50,technician,0,2,no,339,1,no,unknown,5.0,may,2,3,-1,0,unknown,0
32,blue-collar,1,1,no,1331,1,no,unknown,5.0,may,286,2,-1,0,unknown,0
40,self-employed,1,1,no,672,1,no,unknown,5.0,may,164,2,-1,0,unknown,0
37,management,1,2,no,58,1,no,unknown,5.0,may,98,2,-1,0,unknown,0
54,technician,0,3,no,447,1,no,unknown,5.0,may,742,2,-1,0,unknown,0
24,student,0,1,no,423,1,no,unknown,5.0,may,226,3,-1,0,unknown,0
54,management,1,2,no,0,0,no,unknown,5.0,may,120,2,-1,0,unknown,0
34,technician,1,1,no,19,1,no,unknown,5.0,may,362,4,-1,0,unknown,0
56,technician,divorced,0,no,13,1,no,unknown,5.0,may,357,2,-1,0,unknown,0
31,blue-collar,0,1,no,3,1,no,unknown,5.0,may,200,2,-1,0,unknown,0
24,student,0,1,no,82,1,no,unknown,5.0,may,204,2,-1,0,unknown,0
42,blue-collar,divorced,0,no,28,1,no,unknown,5.0,may,126,3,-1,0,unknown,0
57,technician,1,1,no,792,1,no,unknown,5.0,may,65,2,-1,0,unknown,0
42,blue-collar,1,3,no,408,1,no,unknown,5.0,may,107,2,-1,0,unknown,0
51,admin.,1,1,no,531,1,no,unknown,5.0,may,267,2,-1,0,unknown,0
57,retired,1,1,no,211,1,no,unknown,5.0,may,248,2,-1,0,unknown,0
36,services,0,1,no,62,1,no,unknown,5.0,may,215,2,-1,0,unknown,0
53,services,1,3,no,257,1,no,unknown,5.0,may,209,2,-1,0,unknown,0
50,technician,1,1,no,1234,1,no,unknown,5.0,may,205,2,-1,0,unknown,0
54,management,1,2,no,313,1,no,unknown,5.0,may,83,2,-1,0,unknown,0
55,blue-collar,1,1,no,89,1,no,unknown,5.0,may,106,3,-1,0,unknown,0
44,blue-collar,1,1,no,129,1,yes,unknown,5.0,may,189,2,-1,0,unknown,0
43,management,1,3,no,0,1,no,unknown,5.0,may,105,2,-1,0,unknown,0
56,admin.,1,1,no,353,1,no,unknown,5.0,may,106,2,-1,0,unknown,0
54,technician,1,3,no,851,1,no,unknown,5.0,may,108,2,-1,0,unknown,0
55,services,divorced,0,no,96,1,yes,unknown,5.0,may,311,2,-1,0,unknown,0
37,services,divorced,1,no,398,1,yes,unknown,5.0,may,214,2,-1,0,unknown,0
33,admin.,0,2,no,193,0,no,unknown,5.0,may,132,2,-1,0,unknown,0
46,admin.,1,1,no,-358,1,no,unknown,5.0,may,358,2,-1,0,unknown,0
36,blue-collar,1,1,no,539,1,yes,unknown,5.0,may,453,2,-1,0,unknown,0
51,technician,0,1,no,0,1,no,unknown,5.0,may,364,2,-1,0,unknown,0
40,retired,0,0,no,0,0,no,unknown,5.0,may,136,2,-1,0,unknown,0
42,blue-collar,1,1,no,490,1,no,unknown,5.0,may,386,2,-1,0,unknown,0
51,blue-collar,1,1,no,0,1,no,unknown,5.0,may,173,2,-1,0,unknown,0
49,blue-collar,1,3,no,403,1,no,unknown,5.0,may,241,2,-1,0,unknown,0
48,management,1,1,no,161,1,no,unknown,5.0,may,224,3,-1,0,unknown,0
32,technician,divorced,2,no,2558,0,no,unknown,5.0,may,148,2,-1,0,unknown,0
31,admin.,0,1,no,98,1,no,unknown,5.0,may,196,2,-1,0,unknown,0
55,management,0,2,no,115,0,no,unknown,5.0,may,111,4,-1,0,unknown,0
40,blue-collar,0,1,no,436,1,no,unknown,5.0,may,231,3,-1,0,unknown,0
47,technician,1,2,no,831,1,no,unknown,5.0,may,316,3,-1,0,unknown,0
57,technician,1,3,no,206,1,no,unknown,5.0,may,216,3,-1,0,unknown,0
41,blue-collar,1,1,no,290,1,no,unknown,5.0,may,240,2,-1,0,unknown,0
48,blue-collar,1,1,no,1,0,no,unknown,5.0,may,669,3,-1,0,unknown,0
42,blue-collar,1,3,no,57,1,no,unknown,5.0,may,425,2,-1,0,unknown,0
30,blue-collar,0,1,no,-457,1,no,unknown,5.0,may,143,2,-1,0,unknown,0
58,management,0,2,no,1387,1,no,unknown,5.0,may,174,5,-1,0,unknown,0
49,blue-collar,1,1,no,30,1,no,unknown,5.0,may,135,4,-1,0,unknown,0
42,admin.,0,1,no,1022,1,no,unknown,5.0,may,146,2,-1,0,unknown,0
53,technician,1,1,no,56,1,yes,unknown,5.0,may,152,2,-1,0,unknown,0
